province,cityname,lon,lat
河南省,卫辉,114.03,35.24
河南省,舞钢,113.3,33.17
河南省,项城,114.54,33.26
河南省,荥阳,113.21,34.46
河南省,新密,113.22,34.31
河南省,新乡,113.52,35.18
河南省,信阳,114.04,32.07
河南省,新郑,113.43,34.24
河南省,许昌,113.49,33.01
河南省,偃师,112.47,33.43
河南省,义马,111.55,33.43
河南省,禹州,113.28,34.09
河南省,周口,114.38,33.37
河南省,驻马店,114.01,32.58
黑龙江省,哈尔滨,126.36,45.44
黑龙江省,阿城,126.58,45.32
黑龙江省,安达,125.18,46.24
黑龙江省,北安,126.31,48.15
黑龙江省,大庆,125.01,46.36
黑龙江省,富锦,132.02,47.15
黑龙江省,海林,129.21,44.35
黑龙江省,海伦,126.57,47.28
黑龙江省,鹤岗,130.16,47.2
黑龙江省,黑河,127.29,50.14
黑龙江省,佳木斯,130.22,46.47
黑龙江省,鸡西,130.57,45.17
黑龙江省,密山,131.5,45.32
黑龙江省,牡丹江,129.36,44.35
黑龙江省,讷河,124.51,48.29
黑龙江省,宁安,129.28,44.21
黑龙江省,齐齐哈尔,123.57,47.2
黑龙江省,七台河,130.49,45.48
黑龙江省,双城,126.15,45.22
黑龙江省,尚志,127.55,45.14
黑龙江省,双鸭山,131.11,46.38
黑龙江省,绥芬河,131.11,44.25
黑龙江省,绥化,126.59,46.38
黑龙江省,铁力,128.01,46.59
黑龙江省,同江,132.3,47.39
黑龙江省,五常,127.11,44.55
黑龙江省,五大连池,126.07,48.38
黑龙江省,伊春,128.56,47.42
黑龙江省,肇东,125.58,46.04
湖北省,武汉,114.17,30.35
湖北省,安陆,113.41,31.15
湖北省,当阳,111.47,30.5
湖北省,丹江口,108.3,32.33
湖北省,大冶,114.58,30.06
湖北省,恩施,109.29,30.16
湖北省,鄂州,114.52,30.23
湖北省,广水,113.48,30.37
湖北省,洪湖,113.27,29.48
湖北省,黄石,115.06,30.12
湖北省,黄州,114.52,30.27
湖北省,荆门,112.12,31.02
湖北省,荆沙,112.16,30.18
湖北省,老河口,111.4,32.23
湖北省,利川,108.56,30.18
湖北省,麻城,115.01,31.1
湖北省,浦圻,113.51,29.42
湖北省,潜江,112.53,30.26
湖北省,石首,112.24,29.43
湖北省,十堰,110.47,32.4
湖北省,随州,113.22,31.42
湖北省,天门,113.1,60.39
湖北省,武穴,115.33,29.51
湖北省,襄樊,112.08,32.02
湖北省,咸宁,114.17,29.53
湖北省,仙桃,113.27,30.22
湖北省,孝感,113.54,30.56
湖北省,宜昌,111.17,30.42
湖北省,宜城,112.15,31.42
湖北省,应城,113.33,30.57
湖北省,枣阳,112.44,32.07
湖北省,枝城,111.27,30.23
湖北省,钟祥,112.34,31.1
湖南省,长沙,112.59,28.12
湖南省,常德,111.51,29.02
湖南省,郴州,113.02,25.46
湖南省,衡阳,112.37,26.53
湖南省,洪江,109.59,27.07
湖南省,怀化,109.58,27.33
湖南省,津市,111.52,29.38
湖南省,吉首,109.43,28.18
湖南省,耒阳,112.51,26.24
湖南省,冷水江,111.26,27.42
湖南省,冷水滩,111.35,26.26
湖南省,涟源,111.41,27.41
湖南省,醴陵,113.3,27.4
湖南省,临湘,113.27,29.29
湖南省,浏阳,113.37,28.09
湖南省,娄底,111.59,27.44
湖南省,汨罗,113.03,28.49
湖南省,韶山,112.29,27.54
