countryname	lon	lat
内蒙古鄂托克前旗	107.43	38.18
内蒙古杭锦旗	108.7	39.83
内蒙古达拉特旗	110.02	40.42
内蒙古临河	107.37	40.78
内蒙古五原	108.28	41.12
内蒙古磴口	106.98	40.33
内蒙古杭锦后旗	107.12	40.88
内蒙古乌拉特中旗	108.52	41.55
内蒙古乌拉特前旗	108.65	40.75
内蒙古乌拉特后旗	108.52	40.88
内蒙古阿拉善左旗	105.68	38.85
内蒙古阿拉善右旗	101.68	39.2
内蒙古额济纳旗	100.88	41.9
内蒙古乌兰浩特	122.08	46.07
内蒙古突泉	121.5	45.4
北京北京	116.46	39.92
北京平谷	117.1	40.13
北京密云	116.85	40.37
北京顺义	116.65	40.13
北京通县	116.67	39.92
北京怀柔	116.62	40.32
北京大兴	116.33	39.73
北京房山	115.98	39.72
吉林长春	125.35	43.88
吉林吉林	126.57	43.87
吉林农安	125.15	44.45
吉林德惠	125.68	44.52
吉林榆树	126.55	44.83
吉林九台	126.83	44.15
吉林双阳	125.68	43.53
吉林永吉	126.57	43.87
吉林舒兰	126.97	44.4
吉林蛟河	127.33	43.75
吉林桦甸	126.72	42.97
吉林磐石	126.03	42.93
吉林延吉	129.52	42.93
吉林汪清	129.75	43.32
吉林珲春	130.35	42.85
吉林图们	129.83	42.98
吉林和龙	129	42.52
吉林安图	128.3	42.58
吉林敦化	128.18	43.35
吉林通化	125.92	41.49
吉林柳河	125.7	40.88
吉林海龙	125.65	42.53
吉林辉南	126.03	42.68
吉林靖宇	126.8	42.38
吉林浑江	126.4	41.97
吉林抚松	127.27	42.33
吉林集安	126.17	41.15
吉林长白	128.17	41.43
吉林四平	124.37	43.17
吉林梨树	124.33	43.32
吉林怀德	124.82	43.5
吉林伊通	125.32	43.33
吉林辽源	125.15	42.97
吉林东丰	125.5	42.68
吉林双辽	123.5	43.52
吉林白城	122.82	45.63
吉林大安	124.18	45.5
吉林扶余	124.82	45.2
吉林乾安	124.02	45
吉林长岭	123.97	44.3
吉林通榆	123.13	44.82
吉林洮安	122.75	45.35
四川成都	104.06	30.67
四川金堂	104.32	30.88
四川双流	104.94	30.57
四川蒲江	103.29	30.2
四川郫县	103.86	30.8
四川新都	104.13	30.82
四川来易	102.15	26.9
四川盐边	101.56	26.9
四川温江	103.81	30.97
四川灌县	103.61	31.04
四川彭县	103.94	30.99
四川什邡	104.16	31.13
四川广汉	104.25	30.99
四川新津	103.78	30.42
四川邛崃	103.47	30.42
四川大邑	103.53	30.58
四川崇庆	103.69	30.63
四川绵阳	104.73	31.48
四川江油	104.7	31.8
四川青川	105.21	32.59
四川平武	104.52	32.42
四川光元	105.86	32.44
四川旺苍	106.33	32.25
四川剑阁	105.45	32.03
四川梓潼	105.16	31.64
四川三台	105.06	31.1
四川盐亭	105.35	31.23
四川射洪	105.31	30.9
四川遂宁	105.58	30.52
四川蓬溪	105.74	30.78
四川中江	104.68	31.06
四川德阳	104.37	31.13
四川绵竹	104.19	31.32
四川安县	104.41	31.64
四川北川	104.44	31.89
四川内江	105.04	29.59
四川乐至	105.02	30.3
四川安岳	105.3	30.12
四川威远	104.7	29.57
四川资中	104.85	29.81
四川资阳	104.6	30.19
四川简阳	104.53	30.38
四川隆昌	105.25	29.64
四川宜宾	104.56	29.77
四川富顺	104.97	29.24
四川南溪	104.96	28.87
四川江安	105.06	28.71
四川纳溪	105.38	28.77
四川泸县	105.46	28.96
四川合江	105.78	28.79
四川泸州	105.39	28.91
四川古蔺	105.79	28.03
四川叙水	105.44	28.19
四川长宁	104.91	28.6
四川兴文	105.06	28.36
四川琪县	104.81	28.38
四川高县	104.52	28.4
四川筠连	104.53	28.16
四川屏由	104.15	28.68
四川乐由	103.73	29.59
四川夹江	103.59	29.75
四川洪雅	103.38	29.95
四川丹棱	103.53	30.04
四川青神	103.81	29.86
四川眉由	103.81	30.05
四川彭由	103.83	30.22
四川井研	104.06	29.67
四川仁寿	104.09	30
四川犍为	103.93	29.21
四川沐川	103.98	28.96
四川娥眉	103.5	29.62
四川马边	103.53	28.87
四川峨边	103.25	29.23
四川金口	103.13	29.24
四川涪陵	107.36	29.7
四川垫江	107.34	30.36
四川丰都	107.7	29.89
四川石柱	108.13	29.98
四川秀山	108.97	28.47
四川西阳	108.75	28.85
四川黔江	108.81	29.53
四川彭水	108.19	29.29
四川武隆	108.72	29.29
四川南川	107.13	29.15
四川万县	108.35	30.83
四川开县	108.39	31.23
四川城口	108.67	31.98
四川巫溪	109.6	31.42
四川巫山	109.86	31.1
四川奉节	109.52	31.06
四川云阳	108.89	30.99
四川忠县	108.03	30.33
四川梁平	107.78	30.66
四川南允	106.06	30.8
四川苍溪	105.96	31.75
四川阆中	105.97	31.75
四川仪陇	106.38	31.52
四川南部	106.03	31.34
四川西允	105.84	31.01
四川营山	106.57	31.07
四川蓬安	106.44	31.04
四川广安	106.61	30.48
四川岳池	106.43	30.55
四川武胜	106.3	30.38
四川华云	106.74	30.41
四川达县	107.49	31.23
四川万源	108.06	32.07
四川宜汉	107.71	31.39
四川开江	107.87	31.1
四川邻水	106.91	30.36
四川大竹	107.21	30.75
四川渠县	106.94	30.85
四川南江	106.83	32.36
四川巴中	106.73	31.86
四川平昌	107.11	31.59
四川通江	108.24	31.95
四川百沙	108.18	32
四川雅安	102.97	29.97
四川芦山	102.91	30.17
四川名山	103.06	30.09
四川荣经	102.81	29.79
四川汉源	102.66	29.4
四川石棉	102.38	29.21
四川天全	102.78	30.09
四川宝兴	102.84	30.36
四川马尔康	102.22	31.92
四川红原	102.55	31.79
四川阿坝	101.72	31.93
四川若尔盖	102.94	33.62
四川黑水	102.95	32.06
四川松潘	103.61	32.64
四川南坪	104.19	33.23
四川汶川	103.61	31.46
四川理县	103.16	31.42
四川小金	102.34	30.97
四川金川	102.03	31.48
四川壤塘	100.97	32.3
四川茂汶	103.89	31.67
四川康定	101.95	30.04
四川炉霍	100.65	31.38
四川甘孜	99.96	31.64
四川新龙	100.28	30.96
四川白玉	98.83	32.23
四川德格	98.57	31.81
四川石渠	98.06	33.01
四川色达	100.35	32.3
四川泸定	102.25	29.92
四川丹巴	101.87	30.85
四川九龙	101.53	29.01
四川雅江	101	30.03
四川道孚	101.14	30.99
四川理塘	100.28	30.03
四川乡城	99.78	28.93
四川稻城	100.31	29.04
四川巴塘	99	30
四川得荣	99.25	28.71
四川西昌	102.29	27.92
四川昭觉	102.83	28.03
四川甘洛	102.74	28.96
四川雷波	103.62	28.21
四川宁南	102.76	27.07
四川会东	102.55	26.74
四川会理	102.21	26.67
四川德昌	102.15	27.4
四川美姑	103.14	28.33
四川金阳	103.22	27.73
四川布拖	102.8	27.7
四川普格	102.52	27.38
四川喜德	102.42	28.33
四川越西	102.49	28.66
四川盐源	101.51	27.42
四川冕宁	102.15	28.58
四川木里	101.25	27.9
天津天津	117.2	39.13
天津宁河	117.83	39.33
天津静海	116.92	38.93
天津蓟县	117.4	40.05
天津宝坻	117.3	39.75
天津武清	117.05	39.4
宁夏回族自治区银川	106.27	38.47
宁夏回族自治区永宁	106.24	38.28
宁夏回族自治区贺兰	106.35	38.55
宁夏回族自治区石嘴山	106.39	39.04
宁夏回族自治区平罗	106.54	38.91
宁夏回族自治区陶乐	106.69	38.82
宁夏回族自治区吴忠	106.21	37.99
宁夏回族自治区同心	105.94	36.97
宁夏回族自治区灵武	106.34	38.1
宁夏回族自治区中宁	105.66	37.48
宁夏回族自治区盐池	107.41	37.78
宁夏回族自治区中卫	105.18	37.51
宁夏回族自治区青铜峡	106.07	38.02
宁夏回族自治区固原	106.28	36.01
宁夏回族自治区西吉	105.7	35.97
宁夏回族自治区泾源	106.33	35.5
宁夏回族自治区海原	105.64	36.56
宁夏回族自治区隆德	106.11	35.63
安徽合肥	117.27	31.86
安徽长丰	117.16	32.47
安徽淮南	116.98	32.62
安徽凤台	116.71	32.68
安徽淮北	116.77	33.97
安徽濉溪	116.76	33.92
安徽芜湖	118.38	31.33
安徽铜陵	117.82	30.93
安徽蚌埠	117.34	32.93
安徽马鞍山	118.48	31.56
安徽安庆	117.03	30.52
安徽宿州	116.97	33.63
安徽宿县	116.97	33.63
安徽砀山	116.34	34.42
安徽萧县	116.93	34.19
安徽吴壁	117.55	33.55
安徽泗县	117.89	33.49
安徽五河	117.87	33.14
安徽固镇	117.32	33.33
安徽怀远	117.19	32.95
安徽滁州	118.31	32.33
安徽嘉山	117.98	32.78
安徽天长	119	32.68
安徽来安	118.44	32.44
安徽全椒	118.27	32.1
安徽定远	117.68	32.52
