countryname	lon	lat
新疆和静	86.35	42.31
新疆和硕	86.84	42.23
新疆博湖	86.53	41.95
新疆尉梨	86.24	41.36
新疆轮台	84.25	41.77
新疆焉耆	86.55	42.05
新疆和田	79.94	37.12
新疆民丰	82.63	37.07
新疆策勒	80.78	37.04
新疆于田	81.63	36.86
新疆洛浦	80.17	37.12
新疆皮山	78.29	37.06
新疆墨玉	79.74	37.31
新疆阿克苏	80.29	41.15
新疆温宿	80.24	41.29
新疆拜城	81.84	41.82
新疆库车	82.97	41.68
新疆新和	82.63	41.55
新疆沙雅	82.9	41.25
新疆阿瓦提	80.34	40.64
新疆柯平	79.06	40.55
新疆乌什	79.25	41.22
新疆咯什	75.94	39.52
新疆巴楚	78.59	39.78
新疆枷师	76.78	39.46
新疆乐普湖	76.67	39.23
新疆麦盖提	77.62	38.95
新疆莎车	77.25	38.45
新疆泽普	77.26	38.2
新疆叶城	77.42	37.89
新疆疏勒	76.05	39.41
新疆英吉沙	76.17	38.91
新疆疏附	75.83	39.42
新疆塔什库尔干	75.22	37.76
新疆阿图什	76.12	39.73
新疆阿合奇	78.42	41.91
新疆阿克陶	75.94	39.14
新疆乌恰	75.18	39.7
新疆昌吉	87.31	44.05
新疆阜康	87.94	44.14
新疆奇台	89.52	44.02
新疆吉木萨尔	89.14	44
新疆米泉	87.68	43.97
新疆玛纳斯	86.22	44.28
新疆呼图壁	86.92	44.18
新疆木垒	90.34	43.8
新疆博乐	82.1	44.93
新疆精河	82.92	44.67
新疆温泉	81.08	44.95
新疆伊宁	81.33	43.91
新疆尼勒克	82.53	43.82
新疆新源	83.27	43.41
新疆巩留	82.23	43.35
新疆奎屯	84.89	44.45
新疆特克斯	81.81	43.23
新疆昭苏	81.08	43.15
新疆霍城	80.87	44.07
新疆察布察尔	81.12	43.82
新疆塔城	82.96	46.74
新疆额敏	83.62	46.52
新疆乌苏	84.62	44.45
新疆托里	83.59	45.92
新疆裕民	82.94	46.21
新疆沙湾	85.56	44.29
新疆和布克赛尔	85.13	46.78
新疆阿勒泰	88.14	47.86
新疆青河	90.37	46.71
新疆富蕴	89.44	47.05
新疆福海	87.51	47.15
新疆吉木乃	85.84	47.42
新疆布尔津	86.92	47.7
新疆哈巴河	86.41	48.05
江苏南京	118.78	32.04
江苏江宁	118.83	31.95
江苏六合	118.83	32.36
江苏江浦	118.62	32.07
江苏徐州	117.2	34.26
江苏连云港	119.16	34.59
江苏南通	120.86	32.01
江苏苏州	120.62	31.32
江苏无锡	120.29	31.59
江苏常州	119.95	31.79
江苏丰县	116.57	34.79
江苏沛县	116.93	34.73
江苏赣榆	119.11	34.83
江苏东海	118.75	34.54
江苏新沂	118.33	34.38
江苏邳县	117.97	34.3
江苏睢宁	117.94	33.89
江苏铜山	117.2	34.26
江苏清江	119.02	33.59
江苏灌云	119.23	34.3
江苏灌南	119.36	34.09
江苏沭阳	118.79	34.12
江苏宿迁	118.3	33.96
江苏泗阳	118.68	33.73
江苏盱眙	118.05	33
江苏涟水	119.26	33.77
江苏淮阴	119.02	33.62
江苏淮安	119.15	33.5
江苏洪泽	118.85	33.28
江苏泗洪	118.23	33.46
江苏金湖	119.02	33.01
江苏盐城	120.13	33.38
江苏滨海	119.84	34.01
江苏阜宁	119.79	33.78
江苏射阳	120.26	33.77
江苏建湖	119.77	33.46
江苏响水	119.56	34.2
江苏大丰	120.45	33.19
江苏东台	120.31	32.84
江苏海安	120.45	32.57
江苏如皋	120.56	32.39
江苏如东	121.18	32.33
江苏启东	121.66	31.8
江苏海门	121.15	31.89
江苏南通	120.86	32.01
江苏扬州	119.42	32.39
江苏宝应	119.32	33.23
江苏兴化	119.82	32.93
江苏高邮	119.45	32.78
江苏泰兴	120.02	32.16
江苏泰县	120.15	32.51
江苏泰州	119.9	32.49
江苏靖江	120.26	32.03
江苏江都	119.55	32.43
江苏邗江	119.42	32.39
江苏仪征	119.16	32.27
江苏镇江	119.44	32.2
江苏丹徒	119.44	32.2
江苏扬中	119.81	32.24
江苏丹阳	119.55	32
江苏武进	119.95	31.78
江苏宜兴	119.82	31.36
江苏金坛	119.56	31.74
江苏溧阳	119.48	31.43
江苏句容	119.16	31.95
江苏溧水	119.02	31.65
江苏高淳	118.87	31.32
江苏江阴	120.26	31.91
江苏沙洲	120.55	31.86
江苏常熟	120.74	31.64
江苏太仓	121.1	31.45
江苏昆山	120.95	31.39
江苏吴县	120.62	31.32
江苏吴江	120.63	31.16
江西南昌	115.89	28.68
江西新建	115.8	28.69
江西景德镇	117.22	29.3
江西萍乡	113.85	27.6
江西九江	115.97	29.71
江西彭泽	116.56	29.9
江西湖口	116.23	29.75
江西都昌	116.19	29.29
江西星子	116.03	29.47
江西永修	115.82	29.04
江西德安	115.75	29.33
江西瑞昌	115.65	29.68
江西武宁	115.09	29.26
江西修永	114.55	29.04
江西上饶	117.97	28.47
江西婺源	117.83	29.25
江西德兴	117.58	28.96
江西玉山	118.25	28.68
江西广丰	118.2	28.45
江西铅山	117.71	28.32
江西横峰	117.62	28.42
江西鹰潭	117.02	28.23
江西贵溪	117.2	28.3
江西余江	116.82	28.22
江西万年	117.08	28.7
江西乐平	117.12	28.97
江西波阳	116.68	29
江西于干	116.69	28.7
江西弋阳	117.43	28.42
江西宜春	114.38	27.81
江西万载	114.44	28.11
江西铜鼓	114.37	28.53
江西宜丰	114.78	28.4
江西上高	114.91	28.25
江西安义	115.55	28.86
江西奉新	115.38	28.71
江西高安	115.38	28.42
江西丰城	115.7	28.19
江西清江	115.54	28.07
江西新余	114.92	27.81
江西分宜	114.68	27.82
江西靖安	115.37	28.88
江西抚州	116.34	28
江西临川	116.29	27.95
江西金溪	116.77	27.92
江西资溪	117.06	27.7
江西黎川	116.91	27.3
江西南丰	116.52	27.22
江西南城	116.62	27.56
江西宜黄	116.2	27.55
江西崇仁	116.05	27.75
江西乐安	115.82	27.44
江西东乡	116.61	28.23
江西进贤	116.26	28.37
江西吉安	114.97	27.12
江西新干	115.4	27.77
江西峡江	115.15	27.56
江西吉水	115.14	27.22
江西永丰	115.42	27.33
江西泰和	114.88	26.81
江西万安	114.77	26.47
江西遂川	114.5	26.33
江西宁冈	113.97	26.71
江西永新	114.23	26.96
江西莲花	113.94	27.14
江西安福	114.62	27.39
江西井冈山	114.17	26.57
江西赣州	114.92	25.85
江西广昌	116.32	26.84
江西石城	116.32	26.34
江西宁都	116	26.46
江西兴国	115.33	26.32
江西于都	115.39	25.96
江西瑞金	116.02	25.89
江西会昌	115.79	25.58
江西安远	115.41	25.15
江西寻乌	115.64	24.96
江西定南	115.02	24.7
江西龙南	114.79	24.91
江西全南	114.53	24.76
江西信丰	114.94	25.39
江西赣县	114.02	25.85
江西南康	114.75	25.66
江西上犹	114.55	25.8
江西崇义	114.31	25.69
江西大余	114.36	25.39
河北石家庄	114.48	38.03
河北唐山	118.02	39.63
河北行唐	114.54	38.42
河北灵寿	114.38	38.31
河北束鹿	115.18	37.94
河北晋县	115.03	38.03
河北藁城	114.84	38.03
河北高邑	114.58	37.62
河北赵县	114.78	37.76
河北井陉	114.13	38.03
河北获鹿	114.03	38.08
河北新乐	114.67	38.33
河北正定	114.56	38.13
河北深泽	115.2	38.2
河北无极	114.96	38.16
河北赞皇	114.35	37.65
河北元氏	114.5	37.74
河北栾城	114.64	38.87
河北平山	114.24	38.2
河北邯郸	114.47	36.6
河北永年	114.5	36.77
河北曲周	114.92	36.78
河北馆陶	115.4	36.47
河北魏县	114.94	36.37
河北成安	114.68	36.43
河北大名	115.14	36.28
河北涉县	113.67	36.57
河北鸡泽	113.85	36.95
河北丘县	115.18	36.84
河北广平	114.94	36.49
河北肥乡	114.8	36.56
河北临漳	114.62	36.35
河北磁县	114.37	36.37
河北武安	114.2	36.7
河北邢台	114.48	37.05
河北柏乡	114.68	37.49
河北宁普	114.9	37.62
河北隆尧	114.75	37.35
河北临西	115.5	36.87
河北南官	115.37	37.37
河北巨鹿	115.03	37.22
河北任县	114.68	37.11
河北沙河	114.52	36.94
河北临城	114.5	37.43
河北内丘	114.5	37.28
河北新河	115.22	37.53
河北清河	115.67	37.07
河北威县	115.08	36.97
河北广宗	115.14	37.06
河北平乡	115.02	37.06
河北南和	114.71	37
河北保定	115.48	38.85
河北涞水	115.71	39.39
河北涿县	115.98	39.48
河北定兴	115.78	39.28
河北容城	115.86	39.06
河北安新	115.92	38.92
河北蠡县	115.58	38.49
河北博野	115.46	38.46
河北定县	114.02	38.52
河北阜平	114.18	38.85
河北唐县	114.97	38.75
河北涞源	114.67	39.37
河北易县	115.49	39.35
河北新城	115.84	39.34
河北雄县	116.1	38.98
河北徐水	115.65	39.02
河北高阳	115.78	38.68
河北安国	115.3	38.41
河北清苑	115.47	38.76
河北望都	115.14	38.71
河北曲阳	114.68	38.62
河北完县	115.12	38.84
河北满城	115.45	38.95
河北张家口	114.87	40.82
河北康保	114.6	41.87
河北赤城	115.82	40.92
河北怀来	115.54	40.4
河北蔚县	114.53	39.83
河北宣化	115.03	40.63
河北张北	114.7	41.15
河北沽源	115.68	41.68
河北崇礼	115.25	40.98
河北涿鹿	115.2	40.37
河北阳原	114.15	40.12
河北怀安	114.38	40.67
河北尚义	113.95	41.05
河北万全	114.73	40.84
河北承德	117.93	40.97
河北围场	117.72	41.95
河北平泉	118.68	41.02
河北宽城	118.47	40.62
河北兴隆	117.48	40.42
河北滦平	117.53	40.95
河北隆化	117.7	41.32
河北青龙	118.93	40.43
河北丰宁	116.63	41.2
河北秦皇岛	119.57	39.95
河北迁西	118.3	40.15
河北迁安	118.69	40.02
河北昌黎	119.15	39.72
河北卢龙	118.85	39.89
河北滦南	118.67	39.49
河北玉田	117.9	39.9
河北唐海	118.54	39.31
河北遵化	117.97	40.2
河北抚宁	119.22	39.88
河北乐亭	118.9	39.43
河北滦县	118.73	39.74
河北丰南	118.1	39.58
河北丰润	118.13	39.82
河北廊坊	116.7	39.53
河北安次	116.69	39.52
河北三河	117.06	39.97
河北香河	117	39.76
河北霸县	116.38	39.12
河北固安	116.29	39.44
河北大城	116.63	38.7
河北文安	116.45	38.87
河北永清	116.48	39.32
河北大厂	116.98	39.98
河北沧州	116.83	38.33
河北黄骅	117.33	38.4
河北盐山	117.22	38.07
河北吴桥	116.37	37.65
河北东光	116.52	37.89
河北肃宁	115.82	38.43
河北河间	116.07	38.45
河北泊头	116.56	38.08
河北交河	116.27	38.02
河北青县	116.8	38.58
河北海兴	117.85	38.17
河北南皮	116.7	38.05
河北任丘	116.08	38.72
河北献县	116.12	38.2
河北孟村	117.1	38.06
河北衡水	115.72	37.72
河北饶阳	115.74	38.24
河北阜城	116.14	37.87
河北景县	116.26	37.69
河北枣强	115.72	37.52
河北深县	115.56	38.02
河北安平	115.5	38.22
河北武强	115.96	38.03
河北武邑	115.9	37.81
河北故城	115.96	37.36
河北冀县	115.56	37.59
河南郑州	113.65	34.76
河南荥阳	113.35	34.79
河南开封	114.35	34.79
河南平顶山	113.29	33.75
河南洛阳	112.44	34.7
河南焦作	113.21	35.24
河南鹤壁	114.17	35.9
河南杞县	114.77	34.56
河南尉氏	114.17	34.41
河南新郑	113.71	34.4
河南登封	113.02	34.46
河南通许	114.46	34.48
河南中牟	114	34.73
河南密县	113.35	34.51
河南巩县	112.96	34.76
河南兰考	114.81	34.69
河南新乡	113.85	35.31
河南汲县	114.05	35.44
河南封丘	114.04	35.03
河南获嘉	113.63	35.27
河南温贺	113.06	34.94
河南济源	112.57	35.08
河南博爱	113.05	35.16
河南辉县	113.77	35.46
河南延津	114.19	35.14
河南原阳	113.96	35.05
河南武陟	113.38	35.1
河南孟县	112.77	34.92
河南沁阳	112.92	35.08
河南修武	113.42	35.24
河南安阳	114.35	36.1
河南南乐	115.21	36.08
河南范县	115.46	35.9
河南台前	115.83	36
河南滑县	114.52	35.57
河南浚县	114.54	35.67
河南淇县	114.17	35.6
河南内黄	114.88	35.95
河南清丰	115.1	35.89
河南濮阳	114.98	35.71
河南长垣	114.67	35.19
河南汤阴	114.35	35.92
河南林县	113.81	36.06
河南商丘	115.65	34.44
河南夏邑	116.13	34.22
河南柘城	115.29	34.08
河南睢县	115.04	34.46
河南虞城	115.87	34.4
河南永城	116.37	33.94
河南宁陵	115.31	34.44
河南民权	115.13	34.65
河南周口	114.63	33.63
河南商水	114.59	33.54
河南扶沟	114.38	34.05
河南鹿邑	115.48	33.86
河南淮阳	114.88	33.74
河南沈丘	115.06	33.41
河南西华	114.5	33.79
河南太康	114.85	34.06
河南郸城	115.17	33.63
河南项城	114.9	33.44
河南许昌	113.81	34.02
河南鄢县	114.17	34.11
河南郾城	113.98	33.6
河南襄城	113.46	33.86
河南鲁山	112.88	33.74
河南郏县	113.19	33.98
河南漯河	114.02	33.56
河南长葛	113.77	34.22
河南临颖	113.94	33.81
河南舞阳	113.58	33.44
河南叶县	113.35	33.62
河南宝丰	113.04	33.86
河南禹县	113.47	34.16
河南驻马店	114.02	32.98
河南确山	114.02	32.83
河南西平	114	33.38
河南汝南	114.35	33
河南新蔡	114.97	32.75
河南泌阳	113.31	32.72
河南遂平	113.98	33.15
河南上蔡	114.26	33.25
河南平舆	114.62	32.97
河南正阳	114.38	32.62
河南信阳	114.08	32.13
河南息县	114.72	32.35
河南固始	115.68	32.17
河南潢川	115.04	32.13
河南新县	114.83	31.62
河南罗山	114.53	32.21
河南淮滨	115.41	32.44
河南商城	115.42	31.81
河南光山	114.91	32.02
河南南阳	112.53	33.01
河南方城	112.98	33.25
河南唐河	112.83	32.7
河南新野	112.36	32.51
河南邓县	112.08	32.68
河南淅川	111.47	33.14
河南南召	112.4	33.49
河南社旗	112.92	33.05
河南桐柏	113.4	32.37
河南镇平	112.23	33.03
河南内乡	111.83	33.05
河南西峡	111.5	33.31
河南三门峡	111.19	34.76
河南孟津	112.42	34.84
河南临汝	112.83	34.17
河南汝阳	112.46	34.16
河南嵩县	112.07	34.14
河南栾川	111.6	33.81
河南灵宝	110.85	34.52
河南渑池	111.75	34.76
河南义马	111.92	34.73
河南偃师	112.77	34.73
河南伊川	112.42	34.43
河南宜阳	112.15	34.51
河南洛宁	111.65	34.39
河南卢氏	111.03	34.06
河南陕县	111.19	34.76
河南新安	112.14	34.75
浙江杭州	120.19	30.26
浙江余杭	120.3	30.43
浙江富阳	119.95	30.07
浙江建德	119.27	29.49
浙江临安	119.72	30.23
浙江萧山	120.25	30.16
浙江桐庐	119.64	29.8
浙江淳安	119.05	29.61
浙江宁波	121.56	29.86
浙江镇海	121.72	29.96
浙江温州	120.65	28.01
浙江瓯海	120.65	28.01
浙江永喜	120.68	28.16
浙江洞头	121.12	27.84
浙江平阳	120.55	27.68
浙江泰顺	119.7	27.57
浙江乐清	120.94	28.14
浙江瑞安	120.62	27.8
浙江文成	120.08	27.08
浙江苍南	120.36	27.53
浙江湖州	120.1	30.86
浙江平湖	121.02	30.7
浙江桐乡	120.54	30.64
浙江安吉	119.68	30.68
浙江嘉善	120.92	30.84
浙江嘉兴	120.76	30.77
浙江海盐	120.92	30.53
浙江海宁	120.69	30.53
浙江德清	120.08	30.54
浙江长兴	119.91	30.01
浙江定海	122.11	30.03
浙江岱山	122.2	30.26
浙江嵊四	122.45	30.72
浙江普陀	122.3	29.97
浙江鄞县	121.56	29.86
浙江象山	121.8	29.48
浙江奉化	121.41	29.66
浙江慈溪	121.23	30.18
浙江宁海	121.42	29.3
浙江余姚	121.16	30.04
浙江绍兴	120.58	30.01
浙江新昌	120.89	29.49
浙江诸暨	120.23	29.71
浙江上虞	120.87	30.03
浙江嵊县	120.81	29.6
浙江椒江	121.44	28.67
浙江临海	121.13	28.8
浙江三门	121.38	29.11
浙江温岭	121.36	28.36
浙江仙居	120.73	28.85
浙江天台	121.03	29.15
浙江黄岩	121.27	28.64
浙江玉环	121.23	28.14
浙江丽水	119.92	28.45
浙江青田	120.28	28.45
浙江庆无	119.06	27.61
浙江遂昌	119.25	28.59
浙江缙云	120.6	28.66
浙江云和	119.56	28.12
浙江龙泉	119.13	28.08
浙江松阳	119.48	28.46
浙江金华	119.64	29.12
浙江浦江	119.88	29.46
浙江东阳	120.23	29.27
浙江武义	119.81	28.9
浙江江山	118.61	28.74
浙江开化	118.39	29.15
浙江衢州	118.88	28.97
浙江兰溪	119.48	29.19
浙江义乌	120.06	29.32
浙江永康	120.02	28.92
浙江常山	118.5	28.9
海南海口	110.35	20.02
海南琼山	110.33	19.98
海南文昌	110.72	19.61
海南定安	110.31	19.68
海南琼海	110.46	19.25
海南万宁	110.39	18.8
海南屯昌	110.1	19.36
海南澄迈	110	19.75
海南儋县	109.57	19.52
海南临高	109.69	19.91
海南保亭	109.7	18.64
海南白沙	109.44	19.23
海南琼中	109.83	19.05
海南陵水	110.02	18.48
海南崖县	109.5	18.25
海南乐东	109.17	18.73
海南东方	108.64	19.09
海南昌江	109.03	19.25
港澳台香港	114.1	22.2
港澳台澳门	113.33	22.13
港澳台台北	121.5	25.05
港澳台高雄	120.37	22.64
港澳台基隆	121.73	25.14
港澳台台中	120.67	24.15
港澳台台南	120.19	22.98
港澳台宜兰	121.75	24.75
港澳台桃园	121.3	25
港澳台新竹	120.96	24.81
湖北武汉	114.31	30.52
湖北武昌	114.33	30.35
湖北汉阳	114.02	30.57
湖北黄石	115.09	30.2
湖北十堰	110.79	32.65
湖北沙市	112.24	30.32
湖北宜昌	111.3	30.7
湖北襄樊	112.14	30.02
湖北孝感	113.91	31.92
湖北黄陂	114.36	30.88
湖北汉川	113.59	30.63
湖北云梦	113.73	31.02
湖北应山	113.81	31.62
湖北大悟	114.09	31.56
湖北应城	113.6	30.94
湖北安陆	113.69	31.25
湖北鄂城	114.87	30.38
湖北黄冈	114.87	30.44
湖北新洲	114.8	31.84
湖北红安	114.61	31.29
湖北麻城	115	31.17
湖北罗川	115.37	30.79
湖北浠水	115.22	30.46
湖北蕲春	115.3	30.24
湖北黄梅	115.93	30.09
湖北广济	115.56	29.85
湖北英山	115.57	30.75
湖北咸宁	114.28	29.87
湖北阳新	115.22	29.83
湖北通山	114.52	29.6
湖北通城	113.8	29.23
湖北嘉鱼	113.91	29.97
湖北崇阳	114.04	29.54
湖北蒲圻	113.85	29.71
湖北荆门	112.19	31.02
湖北江陵	112.18	30.35
湖北钟祥	112.58	31.17
湖北京山	113.11	31.03
湖北监利	112.9	29.83
湖北石首	112.41	29.73
湖南长沙	113	28.21
湖南望城	112.8	28.37
湖南株洲	113.16	27.83
湖南湘潭	112.91	27.87
湖南衡阳	112.61	26.89
湖南邵阳	111.5	27.22
湖南岳阳	113.09	29.37
湖南临湘	113.42	29.48
湖南平江	113.56	29.71
湖南泪罗	113.05	28.8
湖南湘阴	112.87	28.68
湖南华容	112.55	29.52
湖南浏阳	113.63	28.16
湖南醴陵	113.5	27.67
湖南攸县	113.32	27.01
湖南茶陵	113.54	26.79
湖南酃县	113.77	26.49
湖南湘乡	112.5	27.75
湖南郴州	113	25.79
湖南郴县	113	25.79
湖南安仁	113.27	26.71
湖南永兴	113.11	26.13
湖南资兴	113.39	25.95
湖南桂东	113.91	25.08
湖南汝城	113.68	25.54
湖南宜章	113.96	25.41
湖南临武	112.55	25.27
湖南嘉禾	112.35	25.56
湖南桂阳	112.72	25.73
湖南来阳	112.84	26.41
湖南衡南	112.61	26.89
湖南衡山	112.86	27.25
湖南衡东	112.95	27.1
湖南常宁	112.39	26.38
湖南祁阳	111.85	26.59
湖南祁东	112.14	26.8
湖南衡阳	112.61	26.89
湖南永州	111.63	26.22
湖南零陵	111.63	26.22
湖南新田	112.21	25.91
湖南宁远	111.95	25.6
湖南蓝山	112.16	25.37
湖南双牌	111.64	25.96
湖南江永	111.33	25.41
湖南道县	111.57	25.52
湖南东安	111.28	26.41
湖南江华	111.79	24.97
湖南新宁	110.84	26.44
湖南武冈	110.61	26.73
湖南隆回	111.04	27.13
湖南绥宁	110.14	25.59
湖南洞口	110.57	27.06
湖南城步	110.3	26.37
湖南娄底	111.96	27.71
湖南涟源	111.66	27.68
湖南新邵	111.46	27.33
湖南双峰	112.18	27.44
湖南冷水江	111.41	27.68
湖南邵东	111.73	27.25
湖南新化	111.29	27.73
湖南怀化	109.95	27.52
湖南黔阳	110.14	27.33
湖南辰溪	110.18	28.02
湖南沅陵	110.39	28.46
湖南溆浦	110.57	27.92
湖南会同	109.71	26.86
湖南靖县	109.68	26.57
湖南洪江	109.96	27.1
湖南芷江	109.78	27.44
湖南麻阳	109.79	27.87
湖南通道	109.77	26.16
湖南新晃	109.16	27.37
湖南吉首	109.71	28.3
湖南永顺	109.84	29
湖南桑植	110.16	29.38
湖南大庸	110.48	29.13
湖南古丈	109.91	28.62
湖南泸溪	110.73	28.29
湖南凤凰	109.43	27.92
湖南花垣	109.46	28.59
湖南保靖	109.64	28.7
湖南龙山	109.42	29.64
湖南常德	111.69	29.05
湖南临澧	111.64	29.44
湖南澧县	111.75	29.65
湖南安乡	112.16	29.41
湖南津市	111.87	29.64
湖南汉寿	111.97	28.9
湖南桃源	111.47	28.9
湖南慈利	111.09	29.41
湖南石门	111.35	29.59
湖南益阳	112.33	28.6
湖南南县	112.39	29.37
湖南沅江	112.36	28.83
湖南宁乡	112.55	28.27
湖南安化	111.2	28.38
湖南桃江	112.11	28.51
甘肃兰州	103.73	36.03
甘肃永登	103.25	36.73
甘肃榆中	104.09	35.87
甘肃永昌	101.94	38.23
甘肃皋兰	103.97	36.32
甘肃定西	104.57	35.57
甘肃会宁	105.08	35.72
甘肃陇西	104.61	34.98
甘肃临洮	103.88	35.39
甘肃靖远	104.71	36.54
甘肃通渭	105.27	35.24
甘肃渭源	104.19	35.17
甘肃平凉	106.68	35.51
甘肃灵台	107.61	35.1
甘肃华亭	106.65	35.21
甘肃静宁	105.73	35.51
甘肃泾川	107.38	35.31
甘肃崇信	107.05	35.27
甘肃庄浪	106.06	35.2
甘肃庆阳	107.88	36.03
甘肃华池	108	36.44
甘肃庄宁	108.43	35.5
甘肃镇源	107.22	35.7
甘肃环县	107.33	36.57
甘肃合水	108.02	35.81
甘肃宁县	107.94	35.17
甘肃天水	105.69	34.6
甘肃徽县	106.11	33.78
甘肃礼县	105.15	34.22
甘肃武山	104.88	34.69
甘肃秦安	105.69	34.89
甘肃清水	106.12	34.73
甘肃两当	106.28	33.9
甘肃西和	105.28	34.02
甘肃甘谷	105.35	34.7
甘肃漳县	104.48	34.87
甘肃张家川	106.23	35
甘肃武都	104.94	33.43
甘肃宕昌	104.38	34.06
甘肃康县	105.58	33.33
甘肃成县	105.7	33.75
甘肃文县	104.7	32.95
甘肃临潭	103.35	34.69
甘肃舟曲	104.38	33.81
甘肃玛曲	102.04	33.97
甘肃下河	102.46	35.21
甘肃卓尼	103.54	34.61
甘肃迭部	103.23	34.08
甘肃碌曲	102.5	34.6
甘肃临夏	103.22	35.62
甘肃永靖	103.34	35.97
甘肃和政	103.31	35.43
甘肃康乐	103.68	35.39
甘肃广河	103.54	35.46
甘肃东乡	103.39	35.68
甘肃岷县	104.04	34.41
甘肃积石山	102.85	35.74
甘肃武威	102.61	37.94
甘肃民勤	103.08	38.62
甘肃古浪	102.86	37.43
甘肃景泰	104.05	37.14
甘肃天祝	102.84	37.24
甘肃张掖	100.46	38.93
甘肃民乐	100.85	38.43
甘肃临泽	100.17	39.14
甘肃山丹	101.19	38.79
甘肃高台	99.84	39.14
甘肃肃南	99.57	38.86
甘肃玉门	97.58	39.81
甘肃酒泉	98.5	39.71
甘肃敦煌	94.71	40.13
甘肃金塔	98.92	39.97
甘肃安西	95.77	40.51
甘肃阿克塞	94.25	38.46
甘肃肃北	94.89	39.49
福建福州	119.3	26.08
福建闽侯	119.14	26.16
福建厦门	118.1	24.46
福建同安	118.15	24.74
福建南平	118.16	26.65
福建南平	118.16	26.65
福建建瓯	118.32	27.05
福建浦城	118.55	27.92
福建邵武	117.48	27.34
福建顺昌	117.8	26.8
福建崇安	118.02	27.76
福建光泽	117.34	27.54
福建松溪	118.77	27.53
福建政和	118.85	27.38
福建宁德	119.52	26.65
福建福安	119.65	27.09
福建连江	119.53	26.2
福建福鼎	120.2	27.34
福建霞浦	120	26.89
福建吉田	118.74	26.59
福建罗源	119.55	26.49
福建寿宁	119.5	27.47
福建周宁	119.36	27.12
福建屏南	118.98	26.92
福建柘荣	119.89	27.25
福建莆田	119	25.44
福建仙游	118.7	25.37
福建福清	119.39	25.73
福建长乐	119.52	25.96
福建永泰	118.95	25.88
福建平潭	119.78	25.51
福建闽清	118.86	26.21
福建泉州	118.58	24.93
福建晋江	118.57	24.82
福建南安	118.39	24.96
福建惠安	118.78	25.04
福建安溪	118.18	25.07
福建永春	118.3	25.34
福建德化	118.24	25.5
福建金门	118.34	24.43
福建漳州	117.35	24.52
福建龙海	117.79	24.44
福建漳浦	117.61	24.12
福建诏安	117.16	23.73
福建平和	117.3	24.38
福建云霄	117.34	23.99
福建南靖	117.35	24.51
福建长泰	117.75	24.62
福建东山	117.4	23.72
福建华安	117.53	25
福建龙岩	117.01	25.12
福建上杭	116.41	25.43
福建永定	116.81	24.76
福建长汀	116.37	25.85
福建武平	116.1	25.11
福建连城	116.75	25.72
福建漳平	117.4	25.3
福建三明	117.61	26.23
福建龙溪	118.17	26.18
福建宁化	116.64	26.26
福建大田	117.83	25.69
福建永安	117.37	25.97
福建沙县	117.77	26.41
福建将乐	117.45	26.73
福建清流	116.81	26.12
福建建宁	116.82	26.85
福建泰宁	117.15	26.92
福建明溪	117.18	26.36
西藏自治区拉萨	91.11	29.97
西藏自治区林周	91.24	30.2
西藏自治区当雄	91.05	30.51
西藏自治区墨竹工卡	91.77	29.77
西藏自治区尼木	90.14	29.44
西藏自治区米林	94.13	29.18
西藏自治区墨脱	95.26	29.22
西藏自治区达孜	91.39	29.63
西藏自治区曲水	90.7	29.39
西藏自治区堆龙德庆	90.96	29.67
西藏自治区林芝	94.25	29.59
西藏自治区工布江达	93.25	29.92
西藏自治区那曲	92.1	31.47
西藏自治区巴青	94.1	31.96
西藏自治区比如	93.68	31.53
西藏自治区班戈	90.05	31.35
西藏自治区嘉黎	93.46	30.63
西藏自治区聂荣	92.3	31.08
西藏自治区索县	93.71	31.92
西藏自治区安多	91.68	32.29
西藏自治区申扎	88.7	30.94
西藏自治区吕都	97.14	31.18
西藏自治区贡觉	98.29	30.86
西藏自治区左贡	97.9	29.68
西藏自治区察隅	97.49	28.62
西藏自治区洛隆	95.76	30.81
西藏自治区丁青	95.63	31.42
西藏自治区波密	95.75	29.92
西藏自治区江达	89.19	31.53
西藏自治区察雅	97.56	30.69
西藏自治区芒康	98.68	29.64
西藏自治区八宿	96.95	30.04
西藏自治区边坝	94.69	30.94
西藏自治区类乌齐	96.57	31.2
西藏自治区乃东	91.76	29.18
西藏自治区加查	92.6	29.09
西藏自治区曲松	92.11	29.08
西藏自治区错那	91.91	27.98
西藏自治区穷结	91.65	29.04
西藏自治区贡嘎	90.96	29.25
西藏自治区浪卡子	90.33	29.96
西藏自治区桑日	92	29.26
西藏自治区朗县	93.11	29.06
西藏自治区隆子	92.42	28.46
西藏自治区措美	91.4	28.49
西藏自治区洛扎	90.83	28.42
西藏自治区扎囊	91.26	29.22
西藏自治区日喀则	88.82	29.28
西藏自治区定结	87.77	28.38
西藏自治区拉孜	87.62	29.1
西藏自治区聂拉木	85.94	28.19
西藏自治区谢通门	88.25	29.43
西藏自治区仲巴	84.15	29.66
西藏自治区康马	89.67	28.57
西藏自治区亚东	88.93	27.55
西藏自治区岗巴	88.5	28.29
西藏自治区南木林	89.02	29.71
西藏自治区萨迦	88	28.87
西藏自治区定日	87.11	28.57
西藏自治区吉隆	85.29	28.94
西藏自治区昂仁	87.22	29.3
西藏自治区江孜	89.63	28.94
西藏自治区仁布	89.77	29.21
西藏自治区白朗	89.16	29.11
